location_name,location_type,article_id
Marion County,county,2251
Marion County,county,2360
Marion County,county,2372
Marion County,county,2424
Marion County,county,2425
Marion County,county,2462
Marion County,county,2463
Marion County,county,2464
Marion County,county,2483
Marion County,county,2487
Marion County,county,2503
Marion County,county,2557
Marion County,county,2656
Marion County,county,2771
Monroe County,county,45
Monroe County,county,113
Monroe County,county,465
Monroe County,county,485
Monroe County,county,528
Monroe County,county,560
Monroe County,county,611
Monroe County,county,612
Monroe County,county,620
Monroe County,county,659
Monroe County,county,1568
Monroe County,county,1810
Monroe County,county,1812
Monroe County,county,1941
Monroe County,county,1944
Monroe County,county,2119
Monroe County,county,2149
Monroe County,county,2178
Monroe County,county,2536
Monroe County,county,2759
Montgomery County,county,11
Montgomery County,county,18
Montgomery County,county,103
Montgomery County,county,546
Montgomery County,county,1345
Montgomery County,county,1558
Montgomery County,county,1587
Montgomery County,county,1842
Montgomery County,county,2134
Montgomery County,county,2152
Montgomery County,county,2466
Montgomery County,county,2657
Montgomery County,county,2659
Montgomery County,county,2663
Montgomery County,county,2666
Montgomery County,county,2731
Morgan County,county,1583
Morgan County,county,2058
Morgan County,county,2075
Morgan County,county,2229
Morgan County,county,2251
Newton County,county,151
Newton County,county,1098
Newton County,county,1277
Newton County,county,1550
Newton County,county,1575
Newton County,county,1698
Newton County,county,1774
Newton County,county,1847
Newton County,county,2023
Newton County,county,2169
Newton County,county,2178
Newton County,county,2418
Newton County,county,2586
Newton County,county,2597
Newton County,county,2679
Oconee County,county,190
Peach County,county,1812
Pike County,county,123
Pike County,county,230
Pike County,county,1072
Polk County,county,1209
Polk County,county,1432
Polk County,county,2540
Polk County,county,2571
Polk County,county,2572
Pulaski County,county,61
Pulaski County,county,2666
Pulaski County,county,2771
Putnam County,county,2227
Putnam County,county,2236
Randolph County,county,2396
Richmond County,county,519
Richmond County,county,830
Richmond County,county,1215
Richmond County,county,1230
Richmond County,county,1302
Richmond County,county,1325
Richmond County,county,1329
Richmond County,county,1361
Richmond County,county,1448
Richmond County,county,1597
Richmond County,county,1598
Richmond County,county,1601
Richmond County,county,1630
Richmond County,county,2536
Rockdale County,county,621
Taylor County,county,1624
Taylor County,county,2585
Thomas County,county,954
Towns County,county,626
Troup County,county,123
Troup County,county,192
Troup County,county,276
Troup County,county,1252
Troup County,county,1483
Troup County,county,1486
Troup County,county,1584
Troup County,county,1603
Troup County,county,1621
Troup County,county,1705
Troup County,county,2561
Troup County,county,2586
Turner County,county,1779
Twiggs County,county,81
Twiggs County,county,1668
Twiggs County,county,1675
Twiggs County,county,1810
Twiggs County,county,1812
Twiggs County,county,1891
Twiggs County,county,2119
Twiggs County,county,2536
Twiggs County,county,2547
Twiggs County,county,2579
Twiggs County,county,2582
Twiggs County,county,2589
Twiggs County,county,2624
Twiggs County,county,2641
Twiggs County,county,2650
Twiggs County,county,2652
Twiggs County,county,2780
Union County,county,1454
Union County,county,2746
Union County,county,2779
Union County,county,2782
Walton County,county,1063
Walton County,county,2597
Warren County,county,446
Warren County,county,453
Warren County,county,535
