Geographic Area,2020,2021,2022,2023,2024,GEOID,STATEFP,NAMELSAD
Meriwether County,20619,20733,20892,20964,21439,13199,13,Meriwether County
Miller County,5992,5852,5790,5790,5824,13201,13,Miller County
Mitchell County,21676,21326,21182,20778,20329,13205,13,Mitchell County
Monroe County,28059,28752,29455,30616,31437,13207,13,Monroe County
Montgomery County,8569,8640,8656,8767,8566,13209,13,Montgomery County
Morgan County,20206,20660,21048,21537,21940,13211,13,Morgan County
Murray County,40012,39976,40432,41072,41316,13213,13,Murray County
Muscogee County,207015,205094,202658,201959,201830,13215,13,Muscogee County
Newton County,112897,115356,117970,120529,124010,13217,13,Newton County
Oconee County,42025,43049,43676,44256,44751,13219,13,Oconee County
Oglethorpe County,14867,15187,15532,15788,16172,13221,13,Oglethorpe County
Paulding County,169576,173998,178885,183535,188549,13223,13,Paulding County
Peach County,28042,28254,28484,28807,29213,13225,13,Peach County
Pickens County,33347,34035,34817,35975,36580,13227,13,Pickens County
Pierce County,19746,19978,20176,20443,20669,13229,13,Pierce County
Pike County,18943,19545,19936,20422,20669,13231,13,Pike County
Polk County,42922,43322,43706,44363,44610,13233,13,Polk County
Pulaski County,9874,9572,9953,10114,10180,13235,13,Pulaski County
Putnam County,22166,22614,22928,23183,23383,13237,13,Putnam County
Quitman County,2224,2239,2254,2278,2323,13239,13,Quitman County
Rabun County,16913,17119,17292,17525,17711,13241,13,Rabun County
Randolph County,6364,6262,6155,6113,6085,13243,13,Randolph County
Richmond County,206557,205331,206510,205646,206303,13245,13,Richmond County
Rockdale County,93617,93899,95016,96263,97610,13247,13,Rockdale County
Schley County,4538,4488,4503,4534,4503,13249,13,Schley County
Screven County,14079,14067,13977,14204,14325,13251,13,Screven County
Seminole County,9133,9166,9129,9080,9274,13253,13,Seminole County
Spalding County,67465,67698,69015,69992,70292,13255,13,Spalding County
Stephens County,26816,26769,26724,27255,27498,13257,13,Stephens County
Stewart County,5294,4913,4634,4697,4809,13259,13,Stewart County
Sumter County,29522,28989,28880,28942,28972,13261,13,Sumter County
Talbot County,5725,5757,5759,5715,5755,13263,13,Talbot County
Taliaferro County,1558,1567,1600,1601,1620,13265,13,Taliaferro County
Tattnall County,24325,24100,24012,24328,24275,13267,13,Tattnall County
Taylor County,7819,7770,7767,7793,7783,13269,13,Taylor County
Telfair County,12453,12319,12416,10969,11000,13271,13,Telfair County
Terrell County,9140,8927,8782,8704,8698,13273,13,Terrell County
Thomas County,45786,45835,45542,45666,46054,13275,13,Thomas County
Tift County,41391,41095,41378,41620,41708,13277,13,Tift County
Toombs County,27085,26854,26881,27198,27488,13279,13,Toombs County
Towns County,12551,12880,12944,13007,13184,13281,13,Towns County
Treutlen County,6393,6364,6353,6351,6420,13283,13,Treutlen County
Troup County,69348,69535,70297,70957,71513,13285,13,Troup County
Turner County,8985,8920,8842,8926,9023,13287,13,Turner County
Twiggs County,8011,7880,7688,7706,7728,13289,13,Twiggs County
Union County,24801,25605,26400,27115,27601,13291,13,Union County
Upson County,27740,27685,28098,28265,28358,13293,13,Upson County
Walker County,67747,68425,68887,69410,69340,13295,13,Walker County
Walton County,97136,99804,103056,106778,109792,13297,13,Walton County
Ware County,36231,35554,35608,36263,36222,13299,13,Ware County
Warren County,5212,5215,5168,5108,5148,13301,13,Warren County
Washington County,19957,19772,19791,19891,19834,13303,13,Washington County
Wayne County,30146,30231,30786,31449,32132,13305,13,Wayne County
Webster County,2352,2364,2351,2367,2315,13307,13,Webster County
Wheeler County,7451,7742,7307,7097,7076,13309,13,Wheeler County
White County,28114,28404,28810,29056,29668,13311,13,White County
Whitfield County,102794,102729,103252,104147,105070,13313,13,Whitfield County
Wilcox County,8792,8745,8747,8801,8904,13315,13,Wilcox County
Wilkes County,9551,9490,9585,9552,9567,13317,13,Wilkes County
Wilkinson County,8839,8794,8689,8747,8667,13319,13,Wilkinson County
Worth County,20734,20568,20420,20271,20262,13321,13,Worth County
